Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2019-04-04,1678.6343994140625,1732.9639506065305,1672.7181605192725,1731.6723321981601,4397518
2019-04-05,1706.7989501953125,1711.8818107765885,1682.2173128226198,1690.4250595339213,3152103
2019-04-08,1725.5062255859375,1729.0476484804155,1693.8000340433666,1715.715232877675,2194294
2019-04-09,1742.796875,1748.2131693760457,1714.5903990670536,1724.8814397561557,2690970
2019-04-10,1700.0914306640625,1737.797171253475,1696.5500075147806,1735.713981165662,3313062
2019-04-11,1682.8004150390625,1712.3817048305389,1677.9257721353813,1704.048947142799,3422442
2019-04-12,1678.6343994140625,1699.0496601664302,1672.3848297959908,1698.2163842173538,3198471
2019-04-15,1760.962158203125,1766.3784520392358,1700.7162645387743,1724.8812678075763,9189201
2019-04-16,1776.377685546875,1796.5012180775905,1762.8369515526128,1766.5449887898938,5771952
2019-04-18,1791.5845947265625,1795.7092690656614,1761.7115772517423,1791.459481300247,3413728
2019-04-22,1801.083984375,1813.2081882697062,1787.8766846611184,1789.8764652588827,2007135
2019-04-23,1795.7510986328125,1804.458790274479,1778.2523063927922,1802.3756007220957,2163524
2019-04-24,1819.41650390625,1829.0408827236051,1796.6265265866234,1798.2096696663052,3003071
2019-04-25,1829.040283203125,1837.3730407575813,1806.5835422811585,1812.3747680942126,4211526
2019-04-26,1865.329345703125,1869.8289530766572,1827.4985071293534,1835.7063540907664,2716958
2019-04-30,1883.4957275390625,1888.9952277766376,1858.2891253329994,1865.3302677412676,3488395
2019-05-02,1846.0391845703125,1882.70332093466,1842.4562612657087,1879.0369886728179,2457699
2019-05-03,1776.54443359375,1821.5830421214591,1770.7115015885172,1820.7080616333694,3780886
2019-05-06,1798.0843505859375,1804.0421914602773,1756.9621065561178,1758.2120203146353,2891422
2019-05-07,1793.1683349609375,1820.1666007394879,1782.2108364011776,1799.9179522647084,2201698
2019-05-08,1793.918212890625,1806.5422621765251,1775.2110050372355,1792.3765710063217,1824895
2019-05-09,1810.333251953125,1819.9576274497979,1779.960391878345,1787.376464599301,2264162
2019-05-10,1779.710693359375,1826.5407578692711,1771.4196389094484,1812.3750676850661,2039633
2019-05-13,1773.8363037109375,1805.709111047141,1767.9199626739207,1777.3777267482935,1701744
2019-05-14,1743.5050048828125,1799.7094266853562,1726.8394859829325,1779.044142562203,2456110
2019-05-15,1746.046142578125,1769.877913370038,1736.9635171468192,1747.3794653187238,2346876
2019-05-16,1757.170166015625,1769.8776206839063,1730.7553665072098,1746.545900637226,1946529
2019-05-17,1746.0880126953125,1779.0441165247946,1741.546699548862,1760.378817004711,1947908
2019-05-20,1786.5010986328125,1792.708960876071,1708.2149003503796,1770.7105674363693,2625116
2019-05-21,1758.003662109375,1790.459714627037,1752.004116889721,1789.9181667183625,1863157
2019-05-22,1734.672119140625,1768.1697699097692,1729.047506769207,1758.2121635098924,2595795
2019-05-23,1711.5904541015625,1762.6703089814557,1708.215645918666,1748.2128903109078,2541294
2019-05-24,1706.5491943359375,1724.881265759468,1693.4250977486372,1724.881265759468,2274208
2019-05-27,1712.5067138671875,1724.0059608286417,1699.9659738527628,1712.215189393136,2329820
2019-05-28,1728.0057373046875,1747.7960380935897,1704.049057402332,1716.5481947426913,5872979
2019-05-29,1756.1705322265625,1769.6278556292502,1730.7973236588614,1733.2137422133153,3281320
2019-05-30,1788.4600830078125,1797.0011608784669,1761.8784600606589,1769.0447140877088,4971725
2019-05-31,1830.3319091796875,1837.3313441809348,1793.4177523674655,1799.8756394999307,4265370
2019-06-03,1868.4547119140625,1872.9126162050354,1821.2495070688542,1834.040374334433,3682419
2019-06-04,1833.845947265625,1868.2026495703747,1827.041709899085,1868.2026495703747,2408658
2019-06-06,1819.5662841796875,1847.2028431375422,1807.7219274361032,1847.2028431375422,3735467
2019-06-07,1832.7120361328125,1839.4742322500404,1799.4053542229324,1826.2018868122996,2659446
2019-06-10,1874.5030517578125,1878.1572177143823,1835.8621642915973,1845.270339353761,2080593
2019-06-11,1892.394775390625,1901.7609048668758,1874.0823208400916,1879.122434656784,3048937
2019-06-12,1899.1995849609375,1904.2397008448618,1864.0028577380021,1885.8433599016741,2404448
2019-06-13,1893.4874267578125,1919.4439389095003,1884.2051732576817,1901.803535094577,3320916
2019-06-14,1893.8233642578125,1901.0476117079368,1876.6029699498572,1896.1334171527822,2131408
2019-06-17,1889.371337890625,1900.1236257727492,1882.8611884212444,1895.0835100545191,1489497
2019-06-18,1890.7572021484375,1898.443295404232,1874.2507026586266,1885.0029888880958,1877447
2019-06-19,1898.35888671875,1911.883274870227,1884.2885682415636,1894.2428755853962,1652817
2019-06-20,1913.5218505859375,1918.6040081740675,1858.1226208761111,1873.2429677006003,2199377
2019-06-21,1889.917724609375,1925.744469900664,1883.3234903019797,1919.444324415711,3871804
2019-06-24,1911.46337890625,1915.243464691826,1890.714949055311,1893.528889868239,1382424
2019-06-25,1904.995361328125,1910.5814063256437,1890.4629898408953,1906.8433623367393,1386077
2019-06-26,1893.5709228515625,1904.1552450340562,1890.0428838183238,1902.643169710446,1762224
2019-06-27,1892.18505859375,1901.803236241044,1882.7348437493542,1894.2430643655275,2813464
2019-06-28,1870.8905029296875,1900.081166723748,1866.9424541669046,1898.4431704914305,2372928
2019-07-01,1881.2650146484375,1894.2432700943848,1853.5864234035316,1877.4428863241462,2769940
2019-07-02,1891.8074951171875,1895.9235075399458,1861.8606848526906,1885.759192258593,1771746
